"wetland_id","tree_height_mean","tree_height_sd","crown_hull_mean","canopy_cover_sim"
"HH01",11.1533333333333,2.17640682471515,20.006,8.31469810937182
"HH02",17.6860869565217,5.53455461234536,23.5788260869565,82.2281167108753
"HH04",17.2979104477612,3.97948319216294,22.3063432835821,77.2934131736527
"HH05",16.234696969697,2.67060651117478,16.9452727272727,55.9848484848485
"HH07",18.6101515151515,3.08935965106251,30.5336515151515,102.076475056976
"HH13",20.6996825396825,4.78927463302082,23.246873015873,74.1927409261577
"HH14",16.9674468085106,6.30702488537328,27.1047659574468,65.213578855067
"HH17",18.4589855072464,3.90671862645078,27.7047971014493,98.357315675538
"HH22",18.8145901639344,4.45078928347564,28.4883606557377,88.0290668026517
"HH30",7.03533333333333,6.29725548685034,7.03633333333333,7.41935483870968
"HH31",11.5592,3.86219380663374,23.0386,29.179518815546
"HH33",20.0301612903226,6.01427223073268,29.3204516129032,91.9909331318474
"HH34",13.0129487179487,7.07098481522031,14.391141025641,56.9498311022144
"HH34r",22.1411290322581,4.99119227677451,27.6701129032258,86.3107888486061
"HH43",16.1073214285714,5.99684841200971,30.4607857142857,87.5094912680334
"HH45",8.55285714285714,3.12605029968977,13.784,5.17824048838984
"HH46",13.2833333333333,3.91770190740619,19.5063333333333,20.4981050351922
"HH48",22.6857142857143,2.56963022252609,34.4016607142857,97.6800820302487
"HH49",18.7346296296296,3.63667000539809,28.9153518518519,78.7610619469027
"HH50",22.4814545454545,2.91370860676181,32.8735454545455,92.1062618595825
"SP01",15.6597435897436,3.23597595802756,13.9048974358974,55.9880981899331
"SP02",13.871175,4.45450639915654,13.110625,53.686950055769
"SP03",17.4774772727273,3.43599220550035,8.82453409090909,39.159891598916
"SP05",15.2487162162162,7.82075358370239,15.5822702702703,59.7458144934621
"SP07",21.6405855855856,3.35575656953423,12.9764954954955,73.0231978049389
"SP08",20.0722272727273,3.37625977417259,13.6483068181818,61.3619449268172
"SP09",16.5403333333333,3.99927178934746,19.1767361111111,70.6105422828972
"SP11",21.5632295081967,5.9242201382501,29.3194590163934,91.1422200198216
"SP12",13.1059642857143,6.7475495941841,11.5686071428571,33.2410305803034
"SP13",19.5796268656716,4.12090199686333,23.7582686567164,80.1787062673043
"SP16",22.5385803571429,5.06353909036068,12.2132678571429,69.9851042701092
"UP01",24.3208333333333,1.79487430168947,34.1583541666667,83.6169702780441
"UP02",19.9653571428571,1.8981502615927,31.6495535714286,89.7559124826103
"UP03",24.7325,4.106826357088,31.5426071428571,90.148652053414
"UP04",7.945625,3.61086133537877,6.6569375,4.95730287235222
"UP05",14.5884603174603,4.98842486234592,12.6078253968254,40.9158415841584
"UP06",15.323231884058,5.29916955798383,9.74163768115942,35.0479194468033
